URL,Product Name,Brand,Sale Price,MRP
https://in.puma.com/in/en/pd/ascenso-sneakers/403307?swatch=01,Ascenso Sneakers,Puma,6499,
https://in.puma.com/in/en/pd/softride-enzo-evo-running-shoes/312074?swatch=01,Softride Enzo Evo Running Shoes,Puma,5599,6999.0
https://in.puma.com/in/en/pd/palermo-classic-comfort-low-boot-sneakers/402693?swatch=07,Palermo Classic Comfort Low Boot Sneakers,Puma,5249,6999.0
https://in.puma.com/in/en/pd/royalcat-softride-thong-strap-womens-flip-flops/396472?swatch=01,Royalcat Softride Thong-Strap Women's Flip Flops,Puma,2499,
https://in.puma.com/in/en/pd/leadcat-2-0-slides/395229?swatch=02,Leadcat 2.0 Slides,Puma,1749,2499.0
https://in.puma.com/in/en/pd/popcat-20-shower-slides/391265?swatch=02,Popcat 20 Shower Slides,Puma,1724,2299.0
https://in.puma.com/in/en/pd/adelina-womens-ballerina-shoes/395002?swatch=04,Adelina Women's Ballerina Shoes,Puma,2599,3999.0
https://in.puma.com/in/en/pd/tori-pixie-femme-womens-casual-sneakers/404564?swatch=01,Tori Pixie Femme Women's Casual Sneakers,Puma,4499,5999.0
https://in.puma.com/in/en/pd/adelina-womens-ballerina-shoes/395002?swatch=07,Adelina Women's Ballerina Shoes,Puma,2599,3999.0
https://in.puma.com/in/en/pd/nova-court-high-traction-padel-tennis-shoes/108740?swatch=01,NOVA Court High-Traction Padel-Tennis Shoes,Puma,5999,7499.0
https://in.puma.com/in/en/pd/puma-x-represent-king-indoor-sneakers/403454?swatch=01,PUMA x REPRESENT KING Indoor Sneakers,Puma,9599,11999.0
https://in.puma.com/in/en/pd/palermo-sneakers/402692?swatch=01,Palermo Sneakers,Puma,6999,
https://in.puma.com/in/en/pd/speedcat-lux-suede-sneakers/408198?swatch=01,Speedcat Lux Suede Sneakers,Puma,9999,
https://in.puma.com/in/en/pd/galaxy-comfort-v4-flip-flops/388831?swatch=04,Galaxy Comfort V4 Flip-Flops,Puma,2299,
https://in.puma.com/in/en/pd/galaxy-comfort-v4-flip-flops/388831?swatch=01,Galaxy Comfort V4 Flip-Flops,Puma,2299,
https://in.puma.com/in/en/pd/smashic-womens-comfort-casual-sneakers/395111?swatch=04,Smashic Women's Comfort Casual Sneakers,Puma,2924,4499.0
https://in.puma.com/in/en/pd/softride-premier-glideknit-walking-shoes/312706?swatch=04,Softride Premier GlideKnit Walking Shoes,Puma,4399,5499.0
https://in.puma.com/in/en/pd/royalcat-softride-thong-strap-womens-flip-flops/396472?swatch=02,Royalcat Softride Thong-Strap Women's Flip Flops,Puma,2499,
https://in.puma.com/in/en/pd/softride-pro-24-v-slides/401121?swatch=01,Softride Pro 24 V Slides,Puma,2659,3799.0
https://in.puma.com/in/en/pd/speedcat-faded-sneakers/403688?swatch=03,Speedcat Faded Sneakers,Puma,9999,
https://in.puma.com/in/en/pd/conduct-pro-womens-running-shoes/312087?swatch=05,Conduct Pro Women’s Running Shoes,Puma,7649,8499.0
https://in.puma.com/in/en/pd/mostro-metal-sneakers/403188?swatch=01,Mostro Metal Sneakers,Puma,8249,10999.0
https://in.puma.com/in/en/pd/the-dagger-basketball-shoes/311353?swatch=15,The Dagger Basketball Shoes,Puma,6749,8999.0
https://in.puma.com/in/en/pd/x--ray-airflex-womens-sneakers/399810?swatch=03,X- Ray Airflex Women's Sneakers,Puma,4999,
https://in.puma.com/in/en/pd/ascenso-sneakers/403307?swatch=04,Ascenso Sneakers,Puma,6499,
https://in.puma.com/in/en/pd/badminton-smash-sprint-indoor-sports-shoes/109304?swatch=04,Badminton Smash Sprint Indoor Sports Shoes,Puma,2749,4999.0
https://in.puma.com/in/en/pd/softride-enzo-evo-womens-lightweight-running-shoes/312084?swatch=05,Softride Enzo Evo Women's Lightweight Running Shoes,Puma,5599,6999.0
https://in.puma.com/in/en/pd/puma-x-lamelo-ball-mb-05-metallic-basketball-shoes/312480?swatch=01,PUMA x LAMELO BALL MB.05 Metallic Basketball Shoes,Puma,13999,
https://in.puma.com/in/en/pd/softride-enzo-evo-womens-lightweight-running-shoes/312084?swatch=04,Softride Enzo Evo Women's Lightweight Running Shoes,Puma,5599,6999.0
https://in.puma.com/in/en/pd/pwr-nitro-sqd-2-womens-training-shoes/310147?swatch=14,PWR NITRO™ SQD 2 Women's Training Shoes,Puma,12999,
https://in.puma.com/in/en/pd/scuderia-ferrari-palermo-sneakers/308899?swatch=01,Scuderia Ferrari Palermo Sneakers,Puma,7999,
https://in.puma.com/in/en/pd/palermo-sneakers/402692?swatch=11,Palermo Sneakers,Puma,6999,
https://in.puma.com/in/en/pd/tori-pixie-femme-womens-casual-sneakers/404564?swatch=03,Tori Pixie Femme Women's Casual Sneakers,Puma,4499,5999.0
https://in.puma.com/in/en/pd/bmw-m-motorsport-electron-e-pro-sneakers/308960?swatch=02,BMW M Motorsport Electron E Pro Sneakers,Puma,6999,
https://in.puma.com/in/en/pd/popcat-20-shower-slides/391265?swatch=01,Popcat 20 Shower Slides,Puma,1724,2299.0
https://in.puma.com/in/en/pd/puma-army-trainer-all-day-comfort-sneakers/402701?swatch=01,PUMA Army Trainer All-Day Comfort Sneakers,Puma,5999,7999.0
https://in.puma.com/in/en/pd/bmw-m-motorsport-softride-2-0-slides/309171?swatch=01,BMW M Motorsport Softride 2.0 Slides,Puma,4499,
https://in.puma.com/in/en/pd/puma-x-rose-speedcat-womens-sneakers/404391?swatch=01,PUMA x ROSÉ Speedcat Women's Sneakers,Puma,9999,
https://in.puma.com/in/en/pd/mostro-og-sneakers/397330?swatch=17,Mostro OG Sneakers,Puma,7499,9999.0
https://in.puma.com/in/en/pd/bmw-m-motorsport-drift-cat-11-sneakers/308614?swatch=01,BMW M Motorsport Drift Cat 11 Sneakers,Puma,7999,
https://in.puma.com/in/en/pd/deviate-nitro-3-hyrox-womens-max-cushion-running-shoes/312294?swatch=01,Deviate NITRO 3 HYROX Women's Max Cushion Running Shoes,Puma,15999,
https://in.puma.com/in/en/pd/pwr-hybrid-womens-training-shoes/310477?swatch=13,PWR Hybrid Women's Training Shoes,Puma,6399,7999.0
